Ticker,Date,Scan_Date,Signal_Type,Signal_Color,Price,Drawdown_Pct,AI_Technical_Score,RSI,Cycle_Position,Relative_Volume,Has_Accumulation,Bars_Since_Accum,Has_Split,Split_Date,Split_Ratio,Days_From_Split,Split_Type,Split_Description,Exchange,Market
EQT.L,2025-12-05,2025-12-11,DEEP CRASH BOTTOM,GREEN,0.085,89.38,12,20.78,0.0339,2.28,False,0,False,,,,,,LSE,AIM
FUM.L,2025-12-05,2025-12-11,ENHANCED EXTREME CRASH-ACCUM COMBO,PURPLE,1.02,97.0,12,22.22,0.0104,2.18,True,1,False,,,,,,LSE,AIM
MET1.L,2025-12-05,2025-12-11,ULTRA CRASH BOTTOM,RED,2.0,96.36,14,22.33,0.0995,3.1,False,0,False,,,,,,LSE,AIM
MET1.L,2025-12-08,2025-12-11,DEEP CRASH BOTTOM,GREEN,1.98,96.4,11,22.48,0.0927,1.34,False,0,False,,,,,,LSE,AIM
EXR.L,2025-12-08,2025-12-11,CRASH ZONE BOTTOM,YELLOW,0.475,81.3,12,0.0,0.1042,2.77,False,0,False,,,,,,LSE,AIM
PREM.L,2025-12-09,2025-12-11,DEEP CRASH BOTTOM,GREEN,0.0575,94.19,10,19.51,0.0128,1.23,False,0,False,,,,,,LSE,AIM
TIR.L,2025-12-09,2025-12-11,DEEP CRASH BOTTOM,GREEN,0.575,89.55,12,0.0,0.1085,4.08,False,0,False,,,,,,LSE,AIM
EQT.L,2025-12-09,2025-12-11,DEEP CRASH BOTTOM,GREEN,0.085,89.38,15,14.77,0.0339,2.4,False,0,False,,,,,,LSE,AIM
BUCE.L,2025-12-09,2025-12-11,DEEP CRASH BOTTOM,GREEN,0.0068,85.0,11,0.0,0.0122,1.47,False,0,False,,,,,,LSE,AIM
MPL.L,2025-12-09,2025-12-11,CRASH ZONE BOTTOM,YELLOW,0.304,83.11,14,0.0,0.0057,3.27,False,0,False,,,,,,LSE,AIM
WSBN.L,2025-12-09,2025-12-11,CRASH ZONE BOTTOM,YELLOW,41.0,82.16,15,10.69,0.0087,3.17,False,0,False,,,,,,LSE,AIM
EQT.L,2025-12-10,2025-12-11,EXTREME CRASH BOTTOM,ORANGE,0.075,90.62,15,15.28,0.0332,3.49,False,0,False,,,,,,LSE,AIM
FUM.L,2025-12-10,2025-12-11,ENHANCED CRASH CRASH-ACCUM COMBO,PURPLE,1.08,96.82,9,39.82,0.032,2.53,True,1,False,,,,,,LSE,AIM
BUCE.L,2025-12-10,2025-12-11,ENHANCED DEEP CRASH-ACCUM COMBO,PURPLE,0.0065,85.56,15,0.0,0.0238,3.03,True,1,False,,,,,,LSE,AIM
PREM.L,2025-12-10,2025-12-11,ULTRA CRASH BOTTOM,RED,0.0325,96.72,15,15.69,0.0333,7.21,False,0,False,,,,,,LSE,AIM
EXR.L,2025-12-10,2025-12-11,CRASH ZONE BOTTOM,YELLOW,0.385,84.84,14,21.51,-0.0162,3.97,False,0,False,,,,,,LSE,AIM
